Standard,Level,Errors,Severity,Guideline/Summary,Rule Title,Description,Rule Id,Finding URL,Code Snippet,Selector/Xpath,What is the problem,Why it matters,What to do
WCAG,A,1,high,"1.3.1 Info and Relationships 4.1.2 Name, Role, Value",Input element relies on the placeholder attribute as a fallback to provide an accessible name,"One or more input elements with a placeholder attribute, without an aria-assigned role, not intentionally hidden in the DOM and available to assistive technologies, has an accessible name that depends on the placeholder attribute text",863,https://myplanet.hub.essentia11y.com/short-link/UBwTs-z48c6sfsEY,"<input type=""email"" class=""flex h-10 w-full rounded-md border border-input bg-background px-3 py-2 t [...] sible:ring-offset-2 disabled:cursor-not-allowed disabled:opacity-50 md:text-sm"" placeholder=""Email"">","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(4)>*:nth-child(3)>*:nth-child(1)"" ]",Input element relies on the placeholder attribute as a fallback to provide an accessible name,"When <code>input</code> elements rely on placeholder attributes for important information needed to understand or operate the control, assistive technologies may not provide this information to the user.","The <code>placeholder</code> attribute is not a replacement for an accessible name or accessible description  <p>Whenever multiple visible labels are associated with a single form field, use the <code>aria-labelledby</code> attribute, aria-label, or the <code>aria-describedby</code> attribute, or the <code>title</code> attribute to provide all the relevant information and instructions in an accessible name or description.</p>"
WCAG,A,5,critical,2.4.4 Link Purpose (In Context),Link missing accessible name.,"One or more A elements, without an ARIA-assigned role, not intentionally hidden in the DOM and available to assistive technologies, does not have a mechanism that allows an accessible name value to be calculated.",237,https://myplanet.hub.essentia11y.com/short-link/upPX0hvmJio8TCFA,"<a href=""/our-story"">...</a>  <a href=""/journal"">...</a>  <a class=""p-2 hidden md:block"" href=""/account"">...</a>  <a class=""p-2 hidden md:block"" href=""/wishlist"">...</a>  <a class=""p-2"" href=""/cart"">...</a>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(4)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(5)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(3)"" ]",Link missing accessible name.,"When a link's purpose cannot be determined, users may be required to follow the link to determine its purpose. Returning to a previous location can often be more difficult for users with disabilities using assistive technology. Thus, authors must ensure that a link's purpose is clear within context.","Ensure the accessible name of each link accurately reflects the target and purpose of the link when the link and its surrounding text is taken into context. This can be done by changing text that is used to calculate a link's accessible name, or by modifying text before the link, such as in the same sentence, paragraph, list item, etc. Even when combined with text in context, it may still be helpful to users of screen readers to provide an accessible link name that makes the link's purpose clear out of context. <p>If the accessible name of the link cannot be updated, authors should ensure that the content surrounding the link aids in identifying the links purpose. Acceptable methods of providing purpose via link context includes indicating the purpose in the same:</p>  <ol>  <li>Sentence, paragraph, or list item or</li>  <li>Table cell as the link or</li>  <li>In the table header cell for a link in a data table</li>  </ol>  <h3>Accessible name calculation</h3>  <p>The <a href=""https://www.w3.org/TR/html-aam-1.0/#a-element"">accessible name of a link</a> is calculated based on the <a href=""https://www.w3.org/TR/accname-1.1/"">name calculation algorithm</a>. In simplified terms, the following is used in order to determine the name and takes precedence rather than concatenating each method together.</p> <ul>   <li> <a href=""http://www.w3.org/TR/2012/NOTE-WCAG20-TECHS-20120103/ARIA1""> <code>aria-labelledby</code> </a> referenced content</li>   <li> <code>aria-label</code> </li>   <li>element subtree including images with alternative text, and CSS off-screen positioned text</li>   <li>the <code>title</code> attribute</li> </ul>  It is important to remember that overly verbose link names may be difficult to understand and when located in data table header cells may create extraneous verbosity when users of screen reader navigate associated data table cells.  <h3>Accessible Descriptions</h3>  Note: The title attribute only acts as accessible name when there is no other method of calculating a name, otherwise it becomes the accessible description of the link. An accessible description provided by the <code>title</code> attribute or aria-describedby can be used to supplement the accessible name. However, due to how screen readers announce the accessible description, it is recommended to communicate the link purpose via the link's accessible name and/or the link's context. <p>When the link has an accessible name, such as one provided by text content, an image with alternative, or a label provided by ARIA, the <code>title</code> attribute acts as an accessible description. This description may not be announced by certain navigation methods, by default, by many major  screen readers, like JAWS, VoiceOver or NVDA. It may be announced when tabbing or shift+tabbing to the link but is not announced when arrowing to the link. <p>For users who are not using a screen reader, the <code>title</code> is also displayed when the mouse is moved over a link; however, this feature is not keyboard accessible in nearly all user agents. This is one reason why only supplementary information can be provided via this method.</p> <h3>Links to file formats or external sites</h3> <p>For links that indicate the type of media or an external destination, an image can also be inserted inside the link with appropriate <code>alt</code> text indicating the context (e.g., using a PDF icon to differentiate a PDF link from an HTML link). This approach works well for links that direct users to other sites or open new windows. In these cases, an icon image with appropriate <code>alt</code>text can be used to indicate the actions. WCAG 2 Level A/AA does not   require mentioning that links open windows or point to PDF files but does indicate it as advisory. For this test, the link text in context for accessibility only needs to communicate what is seen visually -- if a link's  purpose is ambiguous to everyone, it is not a failure of this test.</p> <h3>Links that are repurposed for UI elements</h3> <p>When a link combined with a role represents a non-link UI element, such as a page tab, refer to the tests related to those controls for guidance.</p> <h3>A Note about Off-screen positioned text</h3> <p>Text that is positioned off-screen using CSS can be a good solution for users of screen readers; however, this text is not  accessible to anyone who has CSS turned on and is not using a screen reader. For this reason, it is recommended that this method only be used with this supplementary information is only needed by users of screen readers or where it is duplicated using other methods, such as the <code>title</code> attribute or via text in the same sentence, paragraph, list items, table cell, etc. Typically this method works by creating a CSS style, such as <code>.sronly</code> which places the text content off-screen using CSS and then this class is applied to a <code>span</code> element within the anchor that contains the text to hide."
WCAG,AA,1,high,1.4.3 Contrast (Minimum),Large text without sufficient contrast,"One or more elements, not intentionally hidden in the DOM, contains text that is 18 point in size or larger; or bold text that is 14 point in size or larger has a luminosity contrast ratio below 3:1.",109,https://myplanet.hub.essentia11y.com/short-link/mmLG4gSAbqXigP7t,"<h1 class=""text-5xl font-bold"">...</h1>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"" ]",Large text without sufficient contrast,"Sufficient contrast helps people with low vision, contrast limitations, or color vision deficiencies to fluently read text.  When text does not have sufficient contrast some users may not be able to read the text or may miss the presence of the text altogether.","Use sufficient contrast for all text and images of text.  Large text (18pt (24px) or larger or 14pt (19px) if bolded) that is not incidental or a logo need to have at least a minimum contrast ratio of 3:1 to adjacent pixels. This ratio is a minimum and many users with low vision need and benefit from more contrast to read text.  The color of the text,  background, or both can be adjusted to increase contrast.  Halos, opaque boxes, and other techniques may be useful to increase contrast in situations where text appears over non-solid backgrounds.  Authors need to ensure that contrast is maintained across responsive variations.  Refer to the Color Contrast Checker Tool for assistance: "
WCAG,A,2,high,2.1.1 Keyboard,A elements without an href or tabindex >=0 are not in the focus order,"One or more A elements, not intentionally hidden in the DOM and available to assistive technologies, lacks an href or a tabindex set to 0 or a positive value.",1119,https://myplanet.hub.essentia11y.com/short-link/jRvJp2mCmxuKVGEz,"<a class=""group inline-flex h-10 w-max items-center justify-center rounded-md bg-background px-4 py- [...] -50 data-[active]:bg-accent/50 data-[state=open]:bg-accent/50"" data-radix-collection-item="""">...</a>  <a class=""group inline-flex h-10 w-max items-center justify-center rounded-md bg-background px-4 py- [...] -50 data-[active]:bg-accent/50 data-[state=open]:bg-accent/50"" data-radix-collection-item="""">...</a>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(4)>*:nth-child(1)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(5)>*:nth-child(1)>*:nth-child(1)"" ]",A elements without an href or tabindex >=0 are not in the focus order,When anchor elements that are meant to be interactive are not placed in the focus order they cannot be reached in the navigation order by users of screen readers who are blind or low vision that rely on the keyboard or by keyboard only users such as users with motor disabilities.,"The most direct approach is to use the <code>href</code> attribute to place an anchor element that is meant to be interactive in the focus order.  When the <code>href</code> cannot be used, a <code>tabindex</code> equal to or greater than 0 can be used to place them in the focus order.  A tabindex of 0 will place the element in the focus order based on the DOM order and is strongly recommended over using a positive <code>tabindex</code> value which specific the specific focus order apart from the DOM order.  If the <code>tabindex</code> approach is used over the <code>href</code> then keyboard event handling will also need to be added to the element to accept keyboard input such as activation with the enter key.  Note: If an anchor element is a placeholder or anchor and is not interactive then it does not need to be placed in the focus order."
WCAG,AA,19,high,1.4.3 Contrast (Minimum),Non-large text without sufficient contrast.,"One or more elements, excluding elements with a size of 1px by 1px, not intentionally hidden in the DOM, contains text less than 18 point in size; or bold text less than 14 point in size has a luminosity contrast ratio below 4.5:1.",107,https://myplanet.hub.essentia11y.com/short-link/F1uOLBWPbdClrTPC,"<kbd class=""pointer-events-none absolute right-[0.3rem] top-[0.3rem] hidden h-5 select-none items-ce [...] ap-1 rounded border bg-muted px-1.5 font-mono text-[10px] font-medium opacity-100 sm:flex"">...</kbd>  <p class=""mt-4 text-xl"">...</p>  <h3 class=""text-white font-semibold text-lg"">...</h3>  <h3 class=""text-white font-semibold text-lg"">...</h3>  <h3 class=""text-white font-semibold text-lg"">...</h3>  <h3 class=""text-white font-semibold text-lg"">...</h3>  <h3 class=""text-white font-semibold text-lg"">...</h3>  <p class=""text-muted-foreground"">...</p>  <p class=""text-muted-foreground"">...</p>  <p class=""text-muted-foreground"">...</p>  <p class=""text-muted-foreground"">...</p>  <p class=""text-muted-foreground"">...</p>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/watches"">...</a>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/straps"">...</a>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/accessories"">...</a>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/contact"">...</a>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/faq"">...</a>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/shipping"">...</a>  <p>...</p>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(4)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(4)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(5)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(4)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(5)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"" ]",Non-large text without sufficient contrast.,"Sufficient contrast helps people with low vision, contrast limitations, or color vision deficiencies to fluently read text.  When text does not have sufficient contrast some users may not be able to read the text or may miss the presence of the text altogether.","Use sufficient contrast for all text and images of text.  Text is that is not large text (not greater than or equal to 18pt or 14pt bolded), incidental, or a logo needs to have at least a minimum contrast ratio of 4.5:1 to adjacent pixels.  This ratio is a minimum and many users with low vision need and benefit from more contrast to read text.  The color of the text,  background, or both can be adjusted to increase contrast.  Halos, opaque boxes, and other techniques may be useful to increase contrast in situations where text appears over non-solid backgrounds.  Authors need to ensure that contrast is maintained across responsive variations.  Use a Contrast Checker Tool to check the contrast ratio."
WCAG,A,1,low,1.3.1 Info and Relationships,Nav element missing accessible name,"Two or more nav elements, without an ARIA-assigned role, not intentionally hidden in the DOM and available to assistive technologies, lacks a mechanism for providing a calculated accessible name",533,https://myplanet.hub.essentia11y.com/short-link/ElueFdlCi-DTjTYS,"<nav class=""flex items-center"">...</nav>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(3)"" ]",Nav element missing accessible name,"When <code>nav</code>  elements do not provide accessible names to clearly identify their purpose, users of screen readers may have trouble locating the correct landmark or understanding its purpose.","Provide an accessible name for each <code>nav</code> element that communicates the purpose of the section.  An accessible name can be provided using <code>aria-label</code>, <code>aria-labelledby</code>, or the <code>title</code> attribute.  Use of the <code>aria-labelledby </code> element that references a visible heading that describes the nav is the preferred method."
WCAG,A,3,high,"4.1.2 Name, Role, Value",Aria-controls references invalid ID,"One or more elements, excluding elements with a role='combobox' attribute, not intentionally hidden in the DOM and available to assistive technologies, has an aria-controls attribute value that includes one or more invalid ids.",85,https://myplanet.hub.essentia11y.com/short-link/uytgFKeb3lZBCimc,"<button id=""radix-:r0:-trigger-radix-:r1:"" data-state=""closed"" aria-expanded=""false"" aria-controls="" [...] ctive]:bg-accent/50 data-[state=open]:bg-accent/50 group"" data-radix-collection-item="""">...</button>  <button id=""radix-:r0:-trigger-radix-:r2:"" data-state=""closed"" aria-expanded=""false"" aria-controls="" [...] ctive]:bg-accent/50 data-[state=open]:bg-accent/50 group"" data-radix-collection-item="""">...</button>  <button id=""radix-:r0:-trigger-radix-:r3:"" data-state=""closed"" aria-expanded=""false"" aria-controls="" [...] ctive]:bg-accent/50 data-[state=open]:bg-accent/50 group"" data-radix-collection-item="""">...</button>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(1)"" ]",Aria-controls references invalid ID,"When invalid IDs are used, the expected referenced content will not be associated with the control and users of screen readers may have an incomplete or missing understanding of what content is controlled by the control.",Use valid IDs when referencing elements with <code>aria-controls</code>. The IDs referenced need to reference content that is controlled by the control.
WCAG,A,2,high,1.3.1 Info and Relationships,Element with role region is missing an accessible name,"One or more elements that has a role='region' attribute, not intentionally hidden in the DOM and available to assistive technologies, does not have a mechanism that allows an accessible name to be calculated.",1010,https://myplanet.hub.essentia11y.com/short-link/kvmsecjiHOQOIPPE,"<div class=""relative w-full"" role=""region"" aria-roledescription=""carousel"">...</div>  <div class=""relative w-full"" role=""region"" aria-roledescription=""carousel"">...</div>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(3)>*:nth-child(1)>*:nth-child(2)"" ]",Element with role region is missing an accessible name,"When elements with role <code>region</code> do not provide an accessible name to clearly identify their purpose, users of screen readers may have trouble locating the region or understanding its purpose.","<p>Provide a unique accessible name for each region that communicates the purpose of the landmark.</p><p>An accessible name can be provided using <code>aria-label</code>, <code>aria-labelledby</code>, or the <code>title</code> attribute.</p><p>Use of the <code>aria-labelledby</code> element that references a visible heading that describes the region is the preferred method.</p><p>If the region does not represent a section of the page worth of being in a page summary then the region role should not be used.</p><p>When other landmarks roles or semantic structures are more appropriate (e.g. main, complementary, nav) - the most appropriate one should be used instead of a region.</p>"
WCAG,A,1,info,1.3.1 Info and Relationships,Ol element is empty,"One or more ol elements, without an ARIA-assigned role, not intentionally hidden in the DOM and available to assistive technologies, were found to be empty.",75,https://myplanet.hub.essentia11y.com/short-link/dk5Frg-N6rlyR3N9,"<ol tabindex=""-1"" class=""fixed top-0 z-[100] flex max-h-screen w-full flex-col-reverse p-4 sm:bottom-0 sm:right-0 sm:top-auto sm:flex-col md:max-w-[420px]""></ol>","[   ""body>div:nth-of-type(1)>*:nth-child(1)>*:nth-child(1)"" ]",Ol element is empty,This data is not available,Ensure that markup is utilized to properly denote sub-lists.
WCAG,A,5,high,2.4.4 Link Purpose (In Context),Link has suspicious accessible name.,"One or more A elements, without an ARIA-assigned role, not intentionally hidden in the DOM and available to assistive technologies, has a suspicious calculated accessible name value.",239,https://myplanet.hub.essentia11y.com/short-link/ux4uza-Gl2UGhPCR,"<a href=""/journal/automatic-vs.-quartz:-a-guide"">...</a>  <a href=""/journal/how-to-pair-your-watch-and-strap"">...</a>  <a href=""/journal/the-enduring-appeal-of-the-dive-watch"">...</a>  <a href=""/journal/a-look-inside-our-workshop"">...</a>  <a class=""text-sm text-muted-foreground hover:text-foreground"" href=""/faq"">...</a>","[   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(5)>*:nth-child(1)>*:nth-child(2)>*:nth-child(1)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(5)>*:nth-child(1)>*:nth-child(2)>*:nth-child(2)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(5)>*:nth-child(1)>*:nth-child(2)>*:nth-child(3)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(5)>*:nth-child(1)>*:nth-child(2)>*:nth-child(4)"",   ""body>div:nth-of-type(1)>*:nth-child(3)>*:nth-child(3)>*:nth-child(1)>*:nth-child(1)>*:nth-child(3)>*:nth-child(2)>*:nth-child(2)>*:nth-child(1)"" ]",Link has suspicious accessible name.,"When a link's purpose can not be determined users may be required to follow the link to determine its purpose. Returning to a previous location can often be more difficult for users with disabilities using assistive technology including those who are blind, low vision, have cognitive disabilities, or those with motor disabilities. ","<p>Provide an accessible name of each link that accurately reflects the target and purpose of the link when the link and its surrounding text is taken into context. This can be done by changing text that is used to calculate a link's accessible name, or by modifying text before the link, such as in the same sentence, paragraph, list item, etc. Even when combined with text in context, it may still be helpful to users of screen readers to provide an accessible link name that makes the link's purpose clear out of context.</p> <p>Link text that is too long, too short, or uses common terms or duplicates other link text on the same page needs to be reviewed. to determine if it accurately communicates the link purpose in context.</p> <p>If the accessible name of the link cannot be updated, authors should ensure that the content surrounding the link aids in identifying the links purpose. Acceptable methods of providing purpose via link context includes indicating the purpose in the same:</p>  <ol>  <li>Sentence, paragraph, or list item or</li>  <li>Table cell as the link or</li>  <li>In the table header cell for a link in a data table</li>  </ol>  <h3>Accessible name calculation</h3>  <p>The <a href="" https://www.w3.org/TR/html-aam-1.0/#a-element-with-a-href-attribute "">accessible name of a link</a> is calculated based on the <a href=""https://www.w3.org/TR/accname-1.1/"">name calculation algorithm</a>. In simplified terms, the following is used to determine the name and takes precedence rather than concatenating each method together.</p> <ul>   <li> <a href=""http://www.w3.org/TR/2012/NOTE-WCAG20-TECHS-20120103/ARIA1""> <code>aria-labelledby</code> </a> referenced content</li>   <li> <code>aria-label</code> </li>   <li>element subtree including images with alternative text, and CSS off-screen positioned text</li>   <li>the <code>title</code> attribute</li> </ul> It is important to remember that overly verbose link names may be difficult to understand and when located in data table header cells may create extraneous verbosity when users of screen reader navigate associated data table cells.  <h3>Accessible Descriptions</h3>  An accessible description can be provided by the <code>title</code> attribute or aria-describedby can be used to supplement the accessible name. However, due to how screen readers announce the accessible description, it is recommended to communicate the link purpose via the link's accessible name and/or the link's context.  Note: The title attribute only acts as accessible name when there is no other method of calculating a name, otherwise it becomes the accessible description of the link.  <p>When the link has an accessible name, such as one provided by text content, an image with alternative, or a label provided by ARIA, the <code>title</code> attribute acts as an accessible description. This description may not be announced by certain navigation methods, by default, by many major  screen readers, like JAWS, VoiceOver or NVDA. It may be announced when tabbing or shift+tabbing to the link but is not announced when arrowing to the link. <p>For users who are not using a screen reader, the <code>title</code> is also displayed when the mouse is moved over a   link; however, this feature is not keyboard accessible in nearly all user agents. This is one reason why only supplementary information can be provided via this method.</p> <h3>Links to file formats or external sites</h3> <p>For links that indicate the type of media or an external destination, an image can also be inserted inside the link with appropriate <code>alt</code> text indicating the context (e.g., using a PDF icon to differentiate a PDF link from an HTML link). This approach works well for links that direct users to other sites or open new windows. In these cases, an icon image with appropriate <code>alt</code>text can be used to indicate the actions. WCAG 2 Level A/AA does not   require mention that links open windows or point to PDF files but does indicate it as advisory. For this best   practice, the link text in context for accessibility only need communicate what is seen visually -- if a link's  purpose is ambiguous to everyone, it is not a failure of this test.</p> <h3>Links that are repurposed for UI elements</h3> <p>When a link combined with a role represents a non-link UI element, such as a page tab, refer to the tests related to those controls for guidance.</p> <h3>A Note about Off-screen positioned text</h3> <p>Text that is positioned off-screen using CSS can be a good solution for users of screen readers; however, this text is not  accessible to anyone who has CSS turned on and is not using a screen reader. For this reason, it is recommended that this method only be used with this supplementary information is only needed by users of screen readers or where it is duplicated using other methods such as the via text in the same sentence, paragraph, list items, table cell, etc. Typically, this method works by creating a CSS style, such as <code>.sronly</code> which places the text content off-screen using CSS and then  this class is applied to a <code>span</code> element within the anchor that contains the text to hide. "
